img_name,1,2,3,4,5,6,7
IMG_53.tif,-21,-5,-11,-31,-9,-9,-10
IMG_60.tif,56,23,19,-16,4,-11,-4
IMG_64.tif,45,31,-7,-16,8,-17,-11
IMG_66.tif,32,32,-3,-16,-3,15,-11
IMG_72.tif,10,-13,7,11,-11,-14,-6
IMG_80.tif,-1,-3,-6,-1,-2,-25,15
IMG_86.tif,-3,-4,-4,-10,-16,12,23
IMG_92.tif,18,25,8,-5,-3,-13,27
IMG_101.tif,-27,13,41,16,7,6,23
IMG_104.tif,-41,-79,49,23,8,11,27
IMG_112.tif,19,60,57,37,26,45,19
IMG_117.tif,-3,60,63,37,38,59,19
IMG_125.tif,32,57,74,54,77,50,19
IMG_128.tif,9,55,87,52,78,51,9
IMG_136.tif,46,34,99,35,60,43,33
IMG_139.tif,67,44,115,49,106,38,24
