filename,seedling_id,angles,tot_numb
0-crop-IMG_053.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-9, -8, -25, -6, -10, -25, -10, -11]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_060.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-4, -9, 57, 23, -18, -19, 6, 9]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_064.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-15, -3, 44, 30, -32, -17, -15, -16]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_066.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-19, -7, 34, 31, -24, -17, 6, -15]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_072.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-10, 8, 9, 13, -24, 8, -10, -12]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_080.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-20, -2, 0, 4, -4, -2, 2, -26]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_086.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[-21, 0, 3, 3, 7, -11, 17, 12]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_092.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[4, 1, 0, 21, 3, -5, 0, 0]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_101.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[20, 13, 27, 19, 43, 17, 4, 6]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_104.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[19, 23, 0, 0, 50, 0, 4, 12]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_112.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[0, 17, 14, 56, 58, 36, 28, 60]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_117.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[10, 42, 0, 62, 62, 37, 36, 54]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_125.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[7, 68, 32, 57, 74, 54, 74, 50]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_128.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[18, 81, 9, 85, 84, 56, 79, 50]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_136.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[62, 69, 54, 37, 106, 39, 61, 41]","[1, 2, 3, 4, 5, 6, 7, 8]"
0-crop-IMG_139.png,"[1, 2, 3, 4, 5, 6, 7, 8]","[102, 69, 67, 41, 116, 0, 106, 39]","[1, 2, 3, 4, 5, 6, 7, 8]"
